token,label
"HAHAH  yg dia tida tau, siapa tau si crush2 ini mau jadi researcher di yapan atau mana, bisa jadi sarana kaburajadulu ",positif
udh siap banget buat #KaburAjaDulu,Negatif
berarti warga sana jg gak hepi dong ya pada kaburajadulu lah yg di sini malah mau ke sana,Negatif
Maling Bayar Polisi  Penjahat Juga Bayar Polisi  Indonesia Bubar & Digantikan Oleh Pulau Mulyono Sebagai Pulau Teroris.   #KaburAjaDulu  #IndonesiaBubar,Negatif
"Dialog seru antara  @akbarfaizal68 , Reyhan Noor (Koordinator Analis LAB 45) dan  @gunlebang  (Analis Utama Politik Keamanan LAB 45) di podcast ini membahas secara mendalam dinamika di balik “#KABURAJADULU | KOMUNIKASI BURUK & PEMIKIRAN ANALOG PEMERINTAH BIKIN RESAH” Jangan lewatkan",positif
YAS HANA btw dai cari kerjaan baru asap ya yg sustainable.. preferably yg bisa kaburajadulu ,positif
kalo nginepnya 10 taun dhir? trus pake hastagh #KaburAjaDulu,positif
healing tipis before #kaburajadulu,Negatif
emang harusnya kita #KaburAjaDulu,positif
"Jadi kesimpulannya, biarkan warga Gaza tetap di Palestina dan mempertahankan Palestina, jangan disuruh #KaburAjaDulu kesini  Begitu juga dengan warga negara lain, kita motivasi mereka untuk stay di negara nya masing-masing",positif
